id,id_label,resolved,first_observed,last_observed,observations,min_cust_aff,max_cust_aff,min_start,max_etr,last_cause,longitude,latitude,county,neighborhood
78253,78253,1,2022-09-24T16:56:30Z,2022-09-25T23:57:48Z,184,4,4,2022-09-24T05:02:49Z,2022-09-29T02:00:00Z,High Winds and Rain,-64.40976,44.25419,Lunenburg,
79093,79093,1,2022-09-24T17:46:38Z,2022-09-25T23:57:48Z,179,4,4,2022-09-24T04:23:53Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.93946,44.52519,Halifax,
83619,83619,1,2022-09-24T21:17:12Z,2022-09-25T23:57:48Z,158,687,691,2022-09-24T04:03:10Z,2022-09-28T02:00:00Z,High Winds and Rain,-63.61719,44.62425,Halifax,Flemming Heights
84728,84728,1,2022-09-24T22:08:03Z,2022-09-25T23:57:48Z,153,721,722,2022-09-24T05:02:49Z,2022-09-27T02:00:00Z,High Winds and Rain,-64.38646,44.2435,,
74670,74670,1,2022-09-24T11:55:53Z,2022-09-25T23:47:50Z,213,4,4,2022-09-24T08:57:56Z,2022-09-27T02:00:00Z,High Winds and Rain,-64.93968,44.99359,Kings,
79428,79428,1,2022-09-24T17:56:38Z,2022-09-25T23:47:50Z,177,4,4,2022-09-24T02:10:29Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.58816,44.62457,Halifax,Boulderwood
83596,83596,1,2022-09-24T21:17:12Z,2022-09-25T23:47:50Z,157,19,19,2022-09-24T01:53:04Z,2022-09-28T02:00:00Z,High Winds and Rain,-63.63149,44.66225,Halifax,Fairview
68780,68780,1,2022-09-24T02:24:59Z,2022-09-25T23:38:03Z,259,808,815,2022-09-24T02:12:04Z,2022-09-28T02:00:00Z,High Winds and Rain,-63.40969,44.99565,Halifax,
70866,70866,1,2022-09-24T04:26:07Z,2022-09-25T23:38:03Z,247,4,4,,,,-63.93426,44.51478,Halifax,
70925,70925,1,2022-09-24T04:26:07Z,2022-09-25T23:38:03Z,247,4,4,2022-09-24T04:05:21Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.8454,44.49452,Halifax,
70947,70947,1,2022-09-24T04:26:07Z,2022-09-25T23:38:03Z,247,4,4,2022-09-24T04:11:32Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.88225,44.50087,Halifax,
73988,73988,1,2022-09-24T10:55:46Z,2022-09-25T23:38:03Z,218,4,4,2022-09-24T10:28:44Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.60571,44.82453,Halifax,
74521,74521,1,2022-09-24T11:45:49Z,2022-09-25T23:38:03Z,213,4,4,,,,-63.80685,44.73362,Halifax,
78359,78359,1,2022-09-24T17:06:37Z,2022-09-25T23:38:03Z,181,4,4,2022-09-24T16:52:16Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.94526,44.65816,Halifax,
79683,79683,1,2022-09-24T18:16:45Z,2022-09-25T23:38:03Z,174,4,4,2022-09-24T03:59:20Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.77474,44.91516,Hants,
81990,81990,1,2022-09-24T20:07:06Z,2022-09-25T23:38:03Z,163,4,4,2022-09-24T19:47:26Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.81648,44.66634,Halifax,
84470,84470,1,2022-09-24T21:57:04Z,2022-09-25T23:38:03Z,152,4,4,2022-09-24T03:22:39Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.51604,44.97345,Hants,
73726,73726,1,2022-09-24T10:25:50Z,2022-09-25T23:28:00Z,220,4,4,2022-09-24T05:46:58Z,2022-09-26T02:00:00Z,High Winds and Rain,-63.71794,44.76917,Halifax,
75310,75310,1,2022-09-24T13:06:01Z,2022-09-25T23:28:00Z,204,4,4,2022-09-24T05:46:58Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.72695,44.76042,Halifax,
77418,77418,1,2022-09-24T16:06:30Z,2022-09-25T23:28:00Z,186,4,4,,,,-63.84221,44.49631,Halifax,
83040,83040,1,2022-09-24T20:47:23Z,2022-09-25T23:28:00Z,158,4,4,2022-09-24T20:22:09Z,2022-09-30T02:00:00Z,High Winds and Rain,-60.46287,45.96519,,
69417,69417,1,2022-09-24T03:05:22Z,2022-09-25T23:18:00Z,253,1076,1082,2022-09-24T02:49:00Z,2022-09-28T02:00:00Z,High Winds and Rain,-64.31106,45.39356,Cumberland,
71691,71691,1,2022-09-24T05:16:02Z,2022-09-25T23:18:00Z,240,9,9,,,,-64.44046,44.33973,Lunenburg,
74955,74955,1,2022-09-24T12:15:58Z,2022-09-25T23:18:00Z,208,4,4,2022-09-24T11:55:39Z,2022-09-27T17:00:00Z,High Winds and Rain,-64.73534,45.07628,Kings,
76891,76891,1,2022-09-24T15:16:22Z,2022-09-25T23:18:00Z,190,4,4,2022-09-24T03:09:01Z,2022-09-30T02:00:00Z,High Winds and Rain,-62.83067,45.62615,Pictou,
77073,77073,1,2022-09-24T15:36:21Z,2022-09-25T23:18:00Z,188,4,4,,,,-63.92822,44.57497,Halifax,
77149,77149,1,2022-09-24T15:36:21Z,2022-09-25T23:18:00Z,188,4,4,2022-09-24T15:13:50Z,2022-09-27T02:00:00Z,High Winds and Rain,-64.945,44.98124,Kings,
77337,77337,1,2022-09-24T15:56:22Z,2022-09-25T23:18:00Z,186,13,13,2022-09-24T04:11:04Z,2022-09-29T02:00:00Z,High Winds and Rain,-62.63652,45.585,Pictou,
77628,77628,1,2022-09-24T16:26:34Z,2022-09-25T23:18:00Z,183,679,697,2022-09-24T01:10:29Z,2022-09-28T02:00:00Z,High Winds and Rain,-63.42719,44.7193,Halifax,
80273,80273,1,2022-09-24T18:46:55Z,2022-09-25T23:18:00Z,169,4,4,2022-09-24T18:22:35Z,2022-09-27T17:00:00Z,High Winds and Rain,-64.28019,44.62836,Lunenburg,
84422,84422,1,2022-09-24T21:57:04Z,2022-09-25T23:18:00Z,150,4,4,2022-09-24T16:30:50Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.31838,44.74975,Halifax,
85629,85629,1,2022-09-24T22:58:31Z,2022-09-25T23:18:00Z,144,4,4,2022-09-24T03:22:39Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.56904,45.02966,Hants,
68251,68251,1,2022-09-24T01:04:42Z,2022-09-25T23:07:57Z,264,4,4,2022-09-24T00:53:56Z,2022-09-29T02:00:00Z,High Winds and Rain,-64.17185,45.06494,Hants,
73679,73679,1,2022-09-24T10:25:50Z,2022-09-25T23:07:57Z,218,4,4,2022-09-24T10:11:10Z,2022-09-27T02:00:00Z,High Winds and Rain,-64.9467,44.98856,Kings,
75260,75260,1,2022-09-24T12:55:53Z,2022-09-25T23:07:57Z,203,4,4,2022-09-24T02:57:40Z,2022-09-27T17:00:00Z,High Winds and Rain,-64.52009,44.89768,Kings,
83044,83044,1,2022-09-24T20:47:23Z,2022-09-25T23:07:57Z,156,4,4,2022-09-24T03:22:39Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.5888,45.05552,Hants,
84751,84751,1,2022-09-24T22:08:03Z,2022-09-25T23:07:57Z,148,218,239,2022-09-24T05:36:49Z,2022-09-28T02:00:00Z,High Winds and Rain,-63.79167,44.66315,Halifax,
71684,71684,1,2022-09-24T05:16:02Z,2022-09-25T22:57:41Z,238,4,4,2022-09-24T04:57:53Z,2022-09-27T17:00:00Z,High Winds and Rain,-64.36262,44.29603,Lunenburg,
75837,75837,1,2022-09-24T13:46:02Z,2022-09-25T22:57:41Z,197,4,4,2022-09-24T13:18:42Z,2022-09-27T02:00:00Z,High Winds and Rain,-64.42917,45.06964,Kings,
78850,78850,1,2022-09-24T17:36:42Z,2022-09-25T22:57:41Z,174,4,4,2022-09-24T16:38:29Z,2022-09-29T02:00:00Z,High Winds and Rain,-62.8343,44.73988,Halifax,
79078,79078,1,2022-09-24T17:46:38Z,2022-09-25T22:57:41Z,173,4,4,2022-09-24T02:14:13Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.65752,44.77355,Halifax,Lower Sackville
80119,80119,1,2022-09-24T18:36:48Z,2022-09-25T22:57:41Z,168,4,4,2022-09-24T02:32:56Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.86657,44.71887,Halifax,
82185,82185,1,2022-09-24T20:17:05Z,2022-09-25T22:57:41Z,158,795,801,2022-09-24T07:04:12Z,2022-09-28T17:00:00Z,High Winds and Rain,-64.10079,45.68346,Cumberland,
83189,83189,1,2022-09-24T20:56:55Z,2022-09-25T22:57:41Z,154,28,29,,,,-63.86217,44.71164,Halifax,
84425,84425,1,2022-09-24T21:57:04Z,2022-09-25T22:57:41Z,148,4,4,2022-09-24T21:37:31Z,2022-09-30T02:00:00Z,High Winds and Rain,-60.98518,46.65238,Inverness,
85607,85607,1,2022-09-24T22:58:31Z,2022-09-25T22:57:41Z,142,4,4,,,,-63.74225,44.79556,Halifax,Upper Sackville
70933,70933,1,2022-09-24T04:26:07Z,2022-09-25T22:47:43Z,242,1081,1111,2022-09-24T04:03:10Z,2022-09-28T02:00:00Z,High Winds and Rain,-62.71599,45.71411,Pictou,
71171,71171,1,2022-09-24T04:35:57Z,2022-09-25T22:47:43Z,241,7,7,2022-09-24T04:14:35Z,2022-09-28T17:00:00Z,High Winds and Rain,-63.8846,44.68728,Halifax,
72309,72309,1,2022-09-24T06:05:59Z,2022-09-25T22:47:43Z,232,1372,1399,2022-09-24T05:46:58Z,2022-09-26T02:00:00Z,High Winds and Rain,-63.74209,44.76947,Halifax,
74130,74130,1,2022-09-24T11:05:51Z,2022-09-25T22:47:43Z,212,4,4,2022-09-24T03:59:20Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.80864,44.95193,Hants,
78688,78688,1,2022-09-24T17:16:40Z,2022-09-25T22:47:43Z,175,4,4,2022-09-24T08:34:04Z,2022-09-27T17:00:00Z,High Winds and Rain,-64.59439,44.12688,Queens,
83060,83060,1,2022-09-24T20:47:23Z,2022-09-25T22:47:43Z,154,4,4,2022-09-24T05:43:04Z,2022-09-29T02:00:00Z,High Winds and Rain,-60.17728,46.12224,Cape Breton,
84231,84231,1,2022-09-24T21:47:09Z,2022-09-25T22:47:43Z,148,65,65,2022-09-24T15:37:17Z,2022-09-29T02:00:00Z,High Winds and Rain,-63.85514,45.7431,Cumberland,
85406,85406,1,2022-09-24T22:48:43Z,2022-09-25T22:47:43Z,142,4,4,2022-09-24T03:36:16Z,2022-09-27T17:00:00Z,High Winds and Rain,-64.30598,44.62846,Lunenburg,
86790,86790,1,2022-09-24T23:38:17Z,2022-09-25T22:47:43Z,137,73,73,2022-09-24T12:23:01Z,2022-09-27T02:00:00Z,High Winds and Rain,-64.70152,44.93351,Kings,
71673,71673,1,2022-09-24T05:16:02Z,2022-09-25T22:37:46Z,236,4,4,2022-09-24T04:58:35Z,2022-09-29T02:00:00Z,High Winds and Rain,-60.19442,46.13652,Cape Breton,
